id,date,name,gender,age,person_characteristics,industry_driver,perpetrator_type,continent,country,country_numeric,local_region,number_of_victims
recP2r6keJjj0RI64,2017-05-04,Jorge Arbey Chantré Achipiz,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Valle del Cauca,1
recP6Pz4ItX7bcW9r,2017-07-17,Ezequiel Rangel Romano,Male,,Small-scale farmer,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Santander,1
recQ6pAxbIREIBUIM,2014-03-03,Epifanio Latin Ñuscue,Male,,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,,1
recRQ37mLKdt4iXOj,2015-08-18,Joel Gulmatico,Male,58,Small-scale farmer,Sector could not be confirmed*,Hitmen,Asia,Philippines,608,North Cotabato,1
recSWOGb0BEHUGYsx,2017-03-08,Xukuru-Kariri Damião Lima da Silva,Male,28,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Brazil,076,Alagoas,1
rec5VW0ihFRErlLHY,2016-04-27,Edjan Talian,Male,6,Indigenous peoples,Sector could not be confirmed*,Armed forces,Asia,Philippines,608,"Bukidnon, Mindanao",1
rec62f3wP8gVCnwCR,2012-01-01,Jaime Alberto Chazatar Bastidas,Male,,Indigenous peoples,Sector could not be confirmed*,Hitmen,Americas,Colombia,170,,1
rec6L9IrRE2hCYlQI,2015-03-31,José Joaquín Pinzón,Male,61,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Valle del Cauca,1
rec7rgTVWtSranWnp,2017-03-02,Ruth Alicia Lopez Guisao,Female,32,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Antioquia,1
rec7IoYfz1F5Yocvm,2015-05-11,"Unnamed landless worker 1, Zona Rural de Monte Negro",Male,,Other,Sector could not be confirmed*,Unspecified,Americas,Brazil,076,Rondônia,1
rec8tz9BfVh0vEXMe,2015-05-11,"Unnamed landless worker 2, Zona Rural de Monte Negro",Male,,Other,Sector could not be confirmed*,Unspecified,Americas,Brazil,076,Rondônia,1
rec9lf29njeCdqC3I,2016-08-29,Alberto Pascal García,Male,21,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Nariño,1
rec9Ic2chkpaImXqB,2016-11-01,Jhon Jairo Rodriguez,Male,34,Other,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Cauca,1
recawOrzEhBUoejry,2016-02-26,Víctor Andrés Flórez,Male,,Small-scale farmer,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Cauca,1
recaYSNkhL3h4nm5K,2012-03-27,Cristian Alvarado Frias ,Male,24,Demonstrators,Sector could not be confirmed*,Police,Americas,Peru,604,,1
recbACjOvOLVd9zyd,2016-04-05,Baldomero Enríquez Santiago,Male,53,Indigenous peoples,Sector could not be confirmed*,Hitmen,Americas,Mexico,484,Oaxaca,1
recbqH3Cy7AULqWry,2015-09-14,Mario Leman Muller,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Nicaragua,558,Waspam,1
recdmdBNc3ENTgUAM,2017-04-19,Gerson Acosta Salazar,Male,35,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Cauca,1
recfnsndRPEEVYTWS,2014-09-24,Nair Edilia Tay Torres,Female,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,,1
recgGvQL0vhx9lJVm,2016-12-02,Luís Carlos Tenorio,Male,,Indigenous peoples,Sector could not be confirmed*,Hitmen,Americas,Colombia,170,Cauca,1
recgGcIpKa8FBIVcm,2015-05-09,Gustavo Bañol Rodríguez,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Caldas,1
recgTlOlmuk6dwo2x,2015-08-18,Norman Samia,Male,14,Indigenous peoples,Sector could not be confirmed*,Armed forces,Asia,Philippines,608,Bukidnon,1
rechw0VuheD9T896t,2015-08-28,Ely Tabugol,Male,34,Indigenous peoples,Sector could not be confirmed*,Private military actors,Asia,Philippines,608,Surigao del Sur,1
rechc5PE6yYG9d0sq,2016-09-06,Cecilia Coicue,Female,62,Small-scale farmer,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Cauca,1
reciyArV3PdRg4IAa,2016-12-25,Anuar José Alvarez Armero,Male,,Small-scale farmer,Sector could not be confirmed*,Hitmen,Americas,Colombia,170,Cauca,1
reckGVKKnijrTArIo,2018-05-09,Luís Arturo Marroquín,Male,47,,Sector could not be confirmed*,Hitmen,Americas,Guatemala,320,Jalapa,1
reclRbtk5ZnwrlZ9y,2017-03-08,Benjamín Juárez José,Male,,Indigenous peoples,Sector could not be confirmed*,Police,Americas,Mexico,484,Oaxaca,1
recmEyQaynJrWj4nv,2016-06-22,Amado Gómez,Male,,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Antioquia,1
recnVQmU6uEMAFUhA,2015-05-09,Edwin Bañol Álvarez,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Caldas,1
recouVDMN6WqPMSbq,2017-01-07,Marciano Martínez Cruz,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Mexico,484,Oaxaca,1
recozTaWgCnloeZtw,2015-12-28,Mario Zamora Lara,Male,49,Small-scale farmer,Sector could not be confirmed*,Unspecified,Americas,Honduras,340,Santa Bárbara,1
reco9b2FOHdxerV5S,2015-12-17,Balerio Meregildo,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Nicaragua,558,Waspán,1
recpA7zEMiwezLaZz,2015-08-18,Jobert Samia,Male,20,Indigenous peoples,Sector could not be confirmed*,Armed forces,Asia,Philippines,608,Bukidnon,1
recpJSbalIlfLD4a3,2015-08-28,Crisanto Tabugol,Male,39,Indigenous peoples,Sector could not be confirmed*,Private military actors,Asia,Philippines,608,Surigao del Sur,1
recqzKE8CWppSHZud,2015-12-17,Ángel Flores,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Nicaragua,558,Waspán,1
recrEkMmsXLAy3l2j,2015-12-17,Francisco Joseph,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Nicaragua,558,Waspán,1
recs7pAmIDLc9MHlY,2016-04-14,Jesús Adilio Mosquera Palacios,Male,64,Afrodescendant,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Chocó,1
recsophLKQrvcDpqn,2015-06-05,Ernesto Pejendino Pejendino,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Nariño,1
recsEFalfeCgQuyHf,2016-01-24,Johan Alexis Vargas,Male,25,Afrodescendant,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Nariño,1
recsLnCjeK6YGMdJU,2015-06-25,Felix Basig,Male,,Indigenous peoples,Sector could not be confirmed*,Armed forces,Asia,Philippines,608,Davao Oriental,1
recs0N7bsnW9IaQLC,2014-09-26,Wilber Chamarra Carpio,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,,1
recQQMDzIdsMgptjk,2018-03-26,Yaneth González López,Female,34,Indigenous peoples,Sector could not be confirmed*,Hitmen,Americas,Mexico,484,Oaxaca,1
recRfWdvT2r5yLYtj,2018-08-10,Emiliano Trochez Yonda,Male,70,Indigenous peoples,Sector could not be confirmed*,Organised crime / mafias,Americas,Colombia,170,Cauca,1
rec9VTRWILx9sxzjt,2018-08-19,Holmes Alberto Niscue,Male,,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Nariño,1
recAduCdw59pbJiBw,2018-06-25,José Abraham García,Male,,Small-scale farmer,Sector could not be confirmed*,Hitmen,Americas,Colombia,170,Antioquia,1
recteGfHVy55lwHHC,2018-12-08,José Bernardo da Silva,Male,,Small-scale farmer,Sector could not be confirmed*,Hitmen,Americas,Brazil,076,Paraíba,1
recsHXgsBzto6x4iU,2018-12-08,Rodrigo Celestino,Male,,Small-scale farmer,Sector could not be confirmed*,Hitmen,Americas,Brazil,076,Paraíba,1
recVcQO9dJLhO3zFW,2018-10-18,Himmat Kol,Male,,Indigenous peoples,Sector could not be confirmed*,Government officials/entities,Asia,India,356,Uttar Pradesh,1
reciD3niy2XyMc4Dd,2018-08-08,Alfredo Norberto Mazariegos Pinto,Male,65,Other,Sector could not be confirmed*,Unspecified,Americas,Guatemala,320,San Marcos,1
recX2ktLYQ2b4QJPB,2018-12-15,Gilson Maria Temponi,Male,46,Small-scale farmer,Sector could not be confirmed*,Hitmen,Americas,Brazil,076,Pará,1
rec6pH9eVquHTsFe5,2018-06-02,Carlos Jimmy Prado Gallardo,Male,,Afrodescendant,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Nariño,1
recgzHK3ThTBc4dZF,2018-08-07,José Uriel Rodríguez,Male,,Small-scale farmer,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Cauca,1
rec0c8UT8IWivJf4t,2018-01-30,Nixon Mutis,Male,,Small-scale farmer,Sector could not be confirmed*,Organised crime / mafias,Americas,Colombia,170,Bolívar,1
rece45hsr6t2I0Z4s,2018-02-09,Jesús Orlando Grueso Obregón,Male,,Afrodescendant,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Cauca,1
reciyjjhk09Yv2EoL,2018-02-09,Jhonatan Cundumí Anchino,Male,,Afrodescendant,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Cauca,1
recKkoi4vXPdcIOH0,2018-06-27,Julius Barellano,Male,,Small-scale farmer,Sector could not be confirmed*,Unspecified,Asia,Philippines,608,Negros Occidental,1
recT4N2kxjEghGoGn,2012-07-31,Cacique Geusivan Silva de Lima,Male,30,Indigenous peoples,Agribusiness,Hitmen,Americas,Brazil,076,,1
recUlTrvE4mVuQbrE,2017-05-24,Ozeir Rodrigues da Silva,Male,,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Pará,1
recVwhvTdz6WpMCDr,2017-01-25,Wencislao Pacquiao,Male,48,Small-scale farmer,Agribusiness,Hitmen,Asia,Philippines,608,Negros Island,1
recVdDDPsSJYgeHki,2014-08-14,Marcel Labon,Male,,Indigenous peoples,Agribusiness,Private military actors,Asia,Philippines,608,,1
recVlRFgmtt7y1HKS,2017-05-24,Regivaldo Pereira da Silva,Male,,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Pará,1
recVEzB8bBlQJTbLq,2017-12-08,Hernán Bedoya,Male,,Afrodescendant,Agribusiness,Private military actors,Americas,Colombia,170,Chocó,1
recXYTq8U5QMC1UEe,2014-12-08,Julia Venezuela Almeida Guarani Kaiowá,Female,17,Indigenous peoples,Agribusiness,Unspecified,Americas,Brazil,076,,1
recYubfNTLwQBoBCK,2015-09-19,Lucila L. Vargas,Female,60,Small-scale farmer,Agribusiness,Private security guards,Asia,Philippines,608,Bulacan,1
recYBcxfFnDVZtlzh,2016-07-08,Genivaldo Braz do Nascimento,Male,36,Small-scale farmer,Agribusiness,Unspecified,Americas,Brazil,076,Tocantins,1
recYOIDNA9Mwstk7V,2017-12-03,Mateng Bantel,Male,,Indigenous peoples,Agribusiness,Armed forces,Asia,Philippines,608,South Mindanao,1
recZIBcXwHFUibD5L,2017-12-03,Victor Danyan Jr.,Male,,Indigenous peoples,Agribusiness,Armed forces,Asia,Philippines,608,South Mindanao,1
rec0wYyYuH6OUJdlT,2014-05-21,Tony Bago,Male,,Indigenous peoples,Agribusiness,Unspecified,Asia,Philippines,608,,1
rec0AMBjUrfMH6h60,2017-12-03,To Diamante,Male,,Indigenous peoples,Agribusiness,Armed forces,Asia,Philippines,608,South Mindanao,1
rec0kbQOF2MzUaABT,2016-06-14,Clodiodi Aquileu Rodrigues de Souza,Male,26,Indigenous peoples,Agribusiness,Private security guards,Americas,Brazil,076,Mato Grosso do Sul,1
rec0CcuH89xYKQmHY,2015-03-24,Tata Baito,Male,,Indigenous peoples,Agribusiness,Private security guards,Asia,Philippines,608,Bukidnon,1
rec1YFDq03lMjI9kS,2014-12-03,Sumsuk Kokrang,Male,,Other,Agribusiness,Unspecified,Asia,Thailand,764,,1
rec26sF6SX37HBTLc,2014-01-12,Arman Lumibao Padiño,Male,34,Small-scale farmer,Agribusiness,Private security guards,Asia,Philippines,608,,1
rect3Fa7m4OE2mGCH,2017-12-03,Datu Victor Danyan,Male,,Indigenous peoples,Agribusiness,Armed forces,Asia,Philippines,608,South Mindanao,1
rect0H6iINMkvRtG0,2016-09-13,Edilene Mateus Porto,Female,32,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Rondônia,1
recuBZYZRRy0VpK9n,2017-01-20,Alexander Ceballos,Male,54,Small-scale farmer,Agribusiness,Armed forces,Asia,Philippines,608,Negros Island,1
recxMaIvXXCPk1qET,2017-02-14,Luís Manuel Medina,Male,,Journalist,Agribusiness,Unspecified,Americas,Dominican Republic,214,San Pedro de Macorís,1
recxOGayqVvAObHWE,2015-05-23,Jopi Peranginangin,Male,39,Other,Agribusiness,Armed forces,Asia,Indonesia,360,Jakarta,1
recy1PVszaX9l4exg,2016-09-13,Isaque Dias Ferreira,Male,34,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Rondônia,1
recz74PaoRFwU625L,2017-08-23,"Roger ""Titing"" Timboco",Male,32,Small-scale farmer,Agribusiness,Unspecified,Asia,Philippines,608,Mindanao,1
recAbLtRGXZoCNICg,2017-11-14,Leodan Mancías,Male,13,Children,Agribusiness,Private security guards,Americas,Honduras,340,Bajo Aguan,1
recAPx6pKznDva5LY,2015-04-28,Luis Carbajosa,Male,44,Small-scale farmer,Agribusiness,Unspecified,Asia,Philippines,608,Compostela Valley,1
recBFgxOSpd0aADgf,2017-12-03,Pato Celardo,Male,,Indigenous peoples,Agribusiness,Armed forces,Asia,Philippines,608,South Mindanao,1
recBLwYB2hGOFTDOd,2016-11-06,Shyamal Hembrom,Male,35,Indigenous peoples,Agribusiness,Police,Asia,Bangladesh,050,Gaibandha,1
recCGIuqQZDKYOrYi,2017-12-03,Artemio Danyan,Male,,Indigenous peoples,Agribusiness,Armed forces,Asia,Philippines,608,South Mindanao,1
recCZX643jfSxvfBQ,2016-04-24,Nivaldo Batista Cordeiro ,Male,32,Small-scale farmer,Agribusiness,Landowners,Americas,Brazil,076,Rondônia,1
recGzhVTQVC6Vk4TD,2012-10-10,Miguel Galván,Male,40,Indigenous peoples,Agribusiness,Hitmen,Americas,Argentina,032,,1
recGiAs1lnUQC0YFB,2016-01-31,Ruan Hildebran Aguiar,Male,18,Children,Agribusiness,Police,Americas,Brazil,076,Rondônia,1
recGBba3qz1bUc5ln,2017-02-16,Edweno ‘Edwin’ Catog,Male,44,Indigenous peoples,Agribusiness,Armed forces,Asia,Philippines,608,Mindanao,1
recHWGsFtVYR5a7wB,2016-10-18,Silmer Dionisio George,Male,,Other,Agribusiness,Private military actors,Americas,Honduras,340,Colón,1
recI5Cv7jEysYrRZG,2018-04-15,Nazildo dos Santos Brito,Male,,Small-scale farmer,Agribusiness,Unspecified,Americas,Brazil,076,Pará,1
recIfs9aA76LcgRD2,2016-11-06,Mangal Mardi,Male,50,Indigenous peoples,Agribusiness,Police,Asia,Bangladesh,050,Gaibandha,1
recJEPqu7IsQ1dRx3,2017-12-30,José Napoleón Tarrillo Astonitas,Male,50,Small-scale farmer,Agribusiness,Organised crime / mafias,Americas,Peru,604,Lambayeque,1
recK14ELbSn1Z9Rdi,2013-12-01,Rolen Langala,Male,,Indigenous peoples,Agribusiness,Government officials/entities,Asia,Philippines,608,,1
recKQkzSxoC3N1YvG,2017-05-24,Ronaldo Pereira de Souza,Male,,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Pará,1
recLCD3l0iyjwyX3j,2017-11-29,Lando Moreno,Male,64,Small-scale farmer,Agribusiness,Private security guards,Asia,Philippines,608,Mindanao,1
recLHEdQkGHcMtCoG,2014-05-02,Menelao Barcia,Male,57,Small-scale farmer,Agribusiness,Hitmen,Asia,Philippines,608,,1
recMsnYTRhBiSZMpC,2015-08-29,Semião Vilhalva,Male,,Indigenous peoples,Agribusiness,Private security guards,Americas,Brazil,076,Mato Grosso do Sul,1
recM4oqQyeDeCxiA3,2012-11-07,Abiair Amaral Gusmão,Male,,Afrodescendant,Agribusiness,Unspecified,Americas,Brazil,076,,1
recMBXz4FB9htV6mm,2015-12-11,Francimar de Souza,Male,21,Small-scale farmer,Agribusiness,Private security guards,Americas,Brazil,076,Rondônia,1
recNCltoesVrrDNHB,2016-07-12,Rogen Suminao,Male,,Indigenous peoples,Agribusiness,Private security guards,Asia,Philippines,608,"Bukidnon, Mindanao",1
recNXD6MNW5cpEx4z,2016-01-31,Allysson Henrique Lopes,Male,,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Rondônia,1
recOmR7g88EUh5DQF,2015-09-18,Rigoberto Lima Choc,Male,28,Indigenous peoples,Agribusiness,Unspecified,Americas,Guatemala,320,Petén,1
recOnOmk1bYmbPD6P,2017-07-21,Boy Cañete,Male,,Small-scale farmer,Agribusiness,Armed forces,Asia,Philippines,608,Mindanao,1
recPwBWaLdzGQj5yt,2017-05-24,Jane Julia de Oliveira,Female,,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Pará,1
recQxIZSx3l2vHM1Y,2017-11-17,Héctor Noé Cárcamo Castellanos,Male,24,Small-scale farmer,Agribusiness,Unspecified,Americas,Honduras,340,Bajo Aguan,1
recQ8ZXzibhj1A8I8,2015-09-19,Roger B. Vargas,Male,65,Small-scale farmer,Agribusiness,Private security guards,Asia,Philippines,608,Bulacan,1
recQdMRCoSnXtnp4R,2017-05-24,Weldson Pereira da Silva,Male,,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Pará,1
recQm6a42enzjT7wd,2017-12-03,Bobot Lagase,Male,,Indigenous peoples,Agribusiness,Armed forces,Asia,Philippines,608,South Mindanao,1
recRE9fYNPUS3SgR4,2013-02-17,Denilson Quevedo Barbosa,Male,15,Indigenous peoples,Agribusiness,Landowners,Americas,Brazil,076,,1
recSkhXUr42s2xsfj,2018-06-06,Lando Perdicos,Male,45,Small-scale farmer,Agribusiness,Unspecified,Asia,Philippines,608,Mindanao,1
recSQbSnEKsZM1QDq,2015-04-10,Fiderson Guillermo Pavi Ramos,Male,19,Indigenous peoples,Agribusiness,Police,Americas,Colombia,170,Cauca,1
rec3xMz8Zj7cOOjrk,2017-05-24,Nelson Souza Milhomem,Male,,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Pará,1
rec343dEShFFQ7Jlp,2018-02-22,Ronald Manlanat,Male,30,Other,Agribusiness,Unspecified,Asia,Philippines,608,Negros Occidental,1
rec4Yso5HJ3P0oX9w,2016-11-06,Ramesh Tudu,Male,,Indigenous peoples,Agribusiness,Police,Asia,Bangladesh,050,Gaibandha,1
rec5UJ7wNSK980FX0,2017-02-14,Leo Martínez,Male,,Journalist,Agribusiness,Unspecified,Americas,Dominican Republic,214,San Pedro de Macorís,1
rec6tF18MpC4lq993,2014-08-09,Armando Campos,Male,,Indigenous peoples,Agribusiness,Corporations,Asia,Philippines,608,,1
rec6IfNBQ8rpc3AW0,2016-07-12,Remar Mayantao,Male,,Indigenous peoples,Agribusiness,Private security guards,Asia,Philippines,608,"Bukidnon, Mindanao",1
rec8RXLsoS3F5Xfsg,2017-02-01,Roberto Santos Araújo,Male,35,Small-scale farmer,Agribusiness,Unspecified,Americas,Brazil,076,Rondônia,1
rec9u5l5L9wVQxdI4,2016-01-09,Benjie Sustento,Male,30,Small-scale farmer,Agribusiness,Landowners,Asia,Philippines,608,Western Visayas,1
recaUOiZhikCA1LuX,2016-04-07,Ivanildo Francisco da Silva,Male,46,Small-scale farmer,Agribusiness,Unspecified,Americas,Brazil,076,Paraíba,1
recb5M3wcm2SO5HNl,2017-02-03,Renato Anglao,Male,42,Indigenous peoples,Agribusiness,Hitmen,Asia,Philippines,608,Mindanao,1
recblmJBV1RWYu1sp,2017-08-01,Santiago Maldonado,Male,28,Demonstrators,Agribusiness,Police,Americas,Argentina,032,Chubut,1
recboN1c8Ps33tw81,2015-11-06,Osvaldo Rodrigues Costa,Male,,Small-scale farmer,Agribusiness,Private security guards,Americas,Brazil,076,Pará,1
reccuFYWTJhVTOpfl,2012-12-19,Pranee Boonrat,Female,54,Other,Agribusiness,Unspecified,Asia,Thailand,764,,1
recdf79rOalfLA4Vm,2016-07-12,Senon Nacaytuna,Male,,Indigenous peoples,Agribusiness,Private security guards,Asia,Philippines,608,"Bukidnon, Mindanao",1
recdDAaIHX5kDclVH,2015-01-27,José Antônio Dória dos Santos,Male,49,Small-scale farmer,Agribusiness,Private security guards,Americas,Brazil,076,Rondônia,1
recdOq8Ou4DgJw7P9,2016-09-07,Ariel Diaz,Male,,Small-scale farmer,Agribusiness,Hitmen,Asia,Philippines,608,Cagayan Valley,1
recdSPHdMkp5o5VBz,2017-05-24,Antonio Pereira Milhomem,Male,,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Pará,1
recerUiRgip6Xo8RE,2017-05-24,Bruno Henrique Pereira Gomes,Male,,Small-scale farmer,Agribusiness,Police,Americas,Brazil,076,Pará,1
receWbondTuvqIxMh,2012-07-31,Claudemir Ferreira da Silva,Male,37,Indigenous peoples,Agribusiness,Hitmen,Americas,Brazil,076,,1
rechw94Jmf44l7rKZ,2017-09-20,José Alfredo Rodríguez,Male,39,Small-scale farmer,Agribusiness,Armed forces,Americas,Honduras,340,Colón,1
